,Train_idx
0,173
1,986
2,2013
3,91
4,327
5,1462
6,543
7,1613
8,2290
9,4
10,1120
11,1087
12,383
13,1328
14,883
15,2397
16,336
17,1281
18,1334
19,1001
20,2526
21,853
22,1987
23,2481
24,2420
25,2318
26,687
27,2103
28,2607
29,1655
30,989
31,2521
32,1008
33,1982
34,262
35,505
36,723
37,1497
38,2133
39,961
40,1684
41,463
42,1595
43,358
44,340
45,2420
46,2419
47,2598
48,427
49,1218
50,1601
51,142
52,524
53,2422
54,1988
55,87
56,2472
57,863
58,167
59,1010
60,1386
61,191
62,2001
63,1366
64,2179
65,2621
66,33
67,590
68,2580
69,543
70,2419
71,2158
72,1103
73,1969
74,2616
75,537
76,1467
77,1496
78,266
79,1081
80,2320
81,762
82,1652
83,200
84,1982
85,585
86,1848
87,2225
88,1553
89,2150
90,1869
91,2056
92,2601
93,2159
94,1163
95,604
96,516
97,49
98,1633
99,128
100,1743
101,1595
102,2532
103,2082
104,822
105,1271
106,1367
107,258
108,2293
109,1126
110,1789
111,700
112,246
113,1719
114,588
115,2524
116,705
117,1043
118,2409
119,1148
120,1541
121,591
122,922
123,1343
124,1225
125,1174
126,1149
127,2010
128,797
129,2560
130,451
131,741
132,929
133,260
134,2595
135,1410
136,946
137,516
138,1803
139,145
140,1993
141,1124
142,2183
143,1996
144,1844
145,1028
146,1299
147,2574
148,917
149,2151
150,1030
151,1783
152,1976
153,835
154,58
155,1601
156,1495
157,1197
158,1487
159,2282
160,2530
161,1243
162,258
163,421
164,2237
165,2038
166,1985
167,2214
168,1369
169,1181
170,1297
171,626
172,505
173,2339
174,729
175,1320
176,1878
177,2239
178,1205
179,703
180,418
181,1118
182,1198
183,1811
184,2609
185,477
186,980
187,1939
188,1789
189,386
190,586
191,2416
192,213
193,961
194,644
195,545
196,1590
197,321
198,1722
199,1289
200,676
201,137
202,1092
203,226
204,1212
205,673
206,14
207,879
208,231
209,1865
210,911
211,110
212,2473
213,1172
214,947
215,849
216,2411
217,664
218,1782
219,1715
220,2154
221,1011
222,2250
223,659
224,777
225,374
226,56
227,1174
228,657
229,1892
230,2049
231,799
232,1415
233,131
234,361
235,1185
236,1946
237,792
238,1388
239,71
240,2342
241,2262
242,1022
243,1754
244,2456
245,1334
246,1058
247,2507
248,110
249,1122
250,1210
251,134
252,1834
253,1086
254,2299
255,334
256,1997
257,1590
258,1726
259,272
260,35
261,901
262,712
263,1302
264,1713
265,310
266,274
267,2382
268,699
269,836
270,694
271,2187
272,143
273,1859
274,1746
275,2350
276,1482
277,1486
278,1277
279,2393
280,2072
281,2314
282,547
283,2120
284,1648
285,1845
286,828
287,1550
288,2158
289,1240
290,1096
291,606
292,1991
293,1465
294,82
295,851
296,1765
297,684
298,1739
299,1240
300,958
301,1598
302,575
303,548
304,1627
305,1116
306,1230
307,47
308,349
309,771
310,719
311,1594
312,2034
313,896
314,37
315,1386
316,443
317,1049
318,208
319,1841
320,1846
321,884
322,2413
323,1699
324,2291
325,1954
326,2566
327,90
328,2074
329,1319
330,583
331,1221
332,68
333,1371
334,1485
335,376
336,416
337,331
338,579
339,1568
340,235
341,1058
342,735
343,2577
344,2280
345,1106
346,66
347,324
348,1687
349,1536
350,2277
351,1144
352,1710
353,1054
354,1191
355,1792
356,1401
357,369
358,119
359,2044
360,2306
361,2491
362,591
363,676
364,100
365,1497
366,493
367,1604
368,804
369,1326
370,628
371,349
372,2525
373,980
374,2599
375,1656
376,2024
377,2597
378,1452
379,186
380,409
381,2451
382,38
383,310
384,1228
385,4
386,1270
387,1387
388,1974
389,1247
390,2094
391,594
392,1626
393,119
394,1256
395,1063
396,2418
397,1536
398,2266
399,719
400,1648
401,911
402,1371
403,595
404,1572
405,31
406,1931
407,873
408,589
409,26
410,729
411,1490
412,1976
413,766
414,2469
415,1379
416,1401
417,1838
418,805
419,367
420,891
421,2595
422,2268
423,1239
424,1262
425,409
426,2309
427,1277
428,2597
429,282
430,2203
431,1216
432,2171
433,1953
434,2235
435,2220
436,487
437,1858
438,2610
439,803
440,535
441,1880
442,1833
443,2005
444,1076
445,714
446,823
447,2258
448,166
449,2245
450,1130
451,1626
452,1405
453,807
454,114
455,673
456,1521
457,1280
458,2377
459,2287
460,1365
461,634
462,26
463,1056
464,276
465,545
466,486
467,366
468,2397
469,1172
470,2408
471,2089
472,1225
473,1555
474,1496
475,1396
476,811
477,8
478,2126
479,1913
480,1849
481,2492
482,2620
483,1551
484,360
485,2182
486,2391
487,1306
488,655
489,729
490,1138
491,1111
492,2031
493,168
494,1019
495,2439
496,2258
497,721
